Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;Number of Smells;ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java/getSuccessResponse;4.0.0;2;1;0;0;1;0;1;0;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java/getResponseForException;4.0.0;2;1;0;0;2;0;1;0;1;1;2;0;2;1;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java/toString;4.0.0;4;1;0;0;1;0;3;1;1;1;2;0;2;1;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java/isHubSubscriber;4.0.0;2;1;0;0;1;0;1;0;1;0;0;0;0;0;No
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/registerAllExtensions;4.0.0;1;1;0;0;1;0;0;0;1;2;3;3;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getNumber;4.0.0;2;1;0;0;0;0;1;0;1;2;4;0;4;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;6;3;1;0;1;1;1;0;1;2;12;9;21;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetValueMap;4.0.0;2;1;0;0;0;0;1;0;2;2;3;0;3;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/findValueByNumber;4.0.0;2;1;0;0;1;0;1;0;1;2;5;4;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getValueDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;2;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptorForType;4.0.0;2;1;0;0;0;0;1;0;1;2;4;0;4;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;2;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;4;2;1;0;1;1;2;0;1;3;14;0;14;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getNumber;4.0.0;2;1;0;0;0;0;1;0;1;4;6;2;8;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;16;8;1;0;1;1;1;0;1;3;35;5;40;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetValueMap;4.0.0;2;1;0;0;0;0;1;0;2;3;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/findValueByNumber;4.0.0;2;1;0;0;1;0;1;0;1;2;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getValueDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;2;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptorForType;4.0.0;2;1;0;0;0;0;1;0;1;2;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;4;2;1;0;1;1;2;0;1;3;16;0;16;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getNumber;4.0.0;2;1;0;0;0;0;1;0;1;4;8;2;10;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;28;14;1;1;1;1;1;0;1;7;101;3;104;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetValueMap;4.0.0;2;1;0;0;0;0;1;0;2;4;9;0;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/findValueByNumber;4.0.0;2;1;0;0;1;0;1;0;1;3;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getValueDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;2;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptorForType;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;3;8;3;11;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/valueOf;4.0.0;4;2;1;0;1;1;2;0;1;5;21;4;25;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDefaultInstance;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDefaultInstanceForType;4.0.0;2;1;0;0;0;0;1;0;1;3;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getDescriptor;4.0.0;2;1;0;0;0;0;1;0;1;4;9;0;9;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/internalGetFieldAccessorTable;4.0.0;2;1;0;0;0;0;1;0;1;3;7;3;10;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasBody;4.0.0;2;1;0;0;0;0;1;0;1;4;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getBody;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasSrcRegion;4.0.0;2;1;0;0;0;0;1;0;1;3;5;0;5;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getSrcRegion;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/hasMsgId;4.0.0;2;1;0;0;0;0;1;0;1;5;6;0;6;2;Yes
Bookkeeper;../bookkeeper/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/getMsgId;4.0.0;2;1;0;0;0;0;1;0;1;4;7;0;7;2;Yes
